Sentiment,Processed_Text
neutral,lights curfew curl latest bestseller treat eyes perfect reading light luceplan
negative,upm-kymmene corp. world 's largest maker magazine paper tuesday reported 19-percent profit drop lower paper prices higher costs strong euro hurt revenue
neutral,total value contract eur 8 million
neutral,prerequisite inclusion program receipt gains key employees acquire aspo shares amount determined board advance maximum
neutral,mr. doring eaton since 1989 acted business unit manager eaton 's power controls business unit since january 2007
positive,"250 sq 2,691 sq ft store copenhagen 's premier shopping district inaugurated today strengthening company 's presence nordic capitals"
neutral,financial statement first quarter 2010 tikkurila reported discontinued operations
positive,world 's second largest stainless steel maker said net profit three-month period dec. 31 surged euro603 million us 781 million euro3 .33 us 4.31 per share euro172 million euro0 .94 per share previous year
neutral,name applicant jot automation oyname inventor mammila tuomo piirainen mika kellokoski mikaapplication 2424-kolnp-2008 adate filing application 16-06-2008publication date 30/01/2009
positive,netflix grows efforts create loyal customers nflx https //t.co/5qxbkobphe
negative,"omx nordic 40 omxn40 index comprising 40 traded nordic stocks nasdaq omx exchange closed 0.87 1,064.14 points thursday"
positive,aapl nibbling small long via 525 .. buying 13min charts ..
negative,operating margin aker yards cruise ferries division went 8.3 6.4 first quarter 2007
positive,tyc break new highs lots technicals looking great right
neutral,eero katajavuori currently group vice president human resources take year-long sabbatical starting october 1 2010
neutral,whats lulu numbers looked good great good think conference call instill confidence
neutral,adjustment measures carried phases secure delivery capability
neutral,alma media corporation press release 15 march 2010 tyrvaan sanomat paikallissanomat bought suomen paikallissanomat two local papers tyrvaan sanomat paikallissanomat appearing sastamala neighbouring municipalities bought suomen paikallissanomat oy
negative,temporary lay-offs affecting entire workforce also implemented
neutral,meeting media analysts held day 10:30 a.m. stonesoft headquarters helsinki italahdenkatu 22 interim report presented stonesoft 's ceo ilkka hiidenheimo
neutral,finnish sampo-rosenlew manufactures approximately seven forest machines monthly half machines exported
positive,facebook near buy point last week faces different technical test today https //t.co/c72llmpinm fb aapl nflx https //t.co/fpfbytypuy
positive,"4 february 2011 finnish broadband data communication systems provider teleste oyj hel tlt1v said wednesday net profit rocketed eur4 .8 2010 eur416 ,000 2009 lifted dividend proposal"
positive,free ha heeeeeere comes pump glad picked 9k end day get ready bull ride
positive,finnish technology group aspocomp group oyj omx helsinki acg1v issued third quarter report thursday 13 november posting operating profit eur0 .4 compared loss eur0 .5 third quarter 2007
neutral,"building complex consists high-quality office retail space totalling 49,200 square metres company said"
neutral,finnish insurance company fennia kesko group ending loyal customer cooperation
neutral,unit planned operational second half 2007 full stream 2008
neutral,"itg 's share deal estimated 500,000 euro 627,000"
neutral,plant expected enter commercial operation mid-2009
neutral,aspo also investigated sales opportunities kaukomarkkinat 's electronics business
neutral,bg group appoints new ceo one month early
positive,acquisition immediate positive impact aspocomp 's financial result
negative,finnair 's passenger load factor measures number sold seats share available seats dropped 1.3 percentage points 76.7 september
positive,rt bman1 lng looks primed also eght poised run ...
positive,also 7.7 pct 12-month volume weighted average price stock
neutral,coke dividend 3 google dividend 0 passive income coke takes goog ko https //t.co/qbsowjxost
positive,profit taxes eur 5.4 mn eur 3.6 mn year earlier
neutral,subsidiary setting facility manufacturing high-density interconnection printed circuit boards pcbs nokia 's special economic zone sriperumbudur near chennai
positive,crm sep 40 calls +35 since entry bang http //stks.co/dedm
negative,january-june 2010 diluted loss per share stood eur0 .3 versus eur0 .1 first half 2009
positive,rapala said estimates make savings 1-2 mln eur year centralising french operations one site
positive,vmw got nice push today following small sweepers may c morning
positive,topped consensus forecasts earnings 0.21 euros share
neutral,r loan
positive,future company intends look know-how outside company cooperate actors sector
neutral,need ready window opens rosberg said
neutral,"50,000 tonnes asphalt mix used contract"
neutral,pa jpmorgan chase co nyse jpm pohjoa bank joint lead-managers senior unsecured deal
positive,ctrp breaking good vol parser buy signal .. noticed bob langs comments looking 48 fast
neutral,sales finland decreased 10.5 january sales outside finland dropped 17
negative,"pulp production finnish kemij+ñrvi also liquidated 1,100 employees loose jobs"
neutral,nordea cheapest also couple 30s debt
neutral,jussi pesonen member sampo board since 2006 renounce seat sampo board
negative,"tesla recalling 2,700 model x cars https //t.co/8z7bkvstl9 tsla"
positive,adjusted changes group structure division 's net sales increased 1.7
neutral,making matters difficult company said grappling higher oil gas prices pushed cost energy raw materials transportation
positive,amending proposal simplifies proposed plan increases incentive key employees stay company
neutral,solution expanded include ground staff tasks
negative,operating loss totalled eur 3.2 mn compared profit eur 7.2 mn third quarter 2008
positive,fedday looking sharp move equities aapl hd low fb seeing uvxy tvix getting hammered even though market
positive,net sales totaled eur 93.6 mn eur 93.2 mn corresponding period 2005
neutral,consequence works council withdrawn petition suspend reorganisation
positive,ceo erkki j+ñrvinen happy company 's performance 2010
positive,comparable net sales expected increase 10 2008 line group target
positive,following transaction lundbeck worldwide rights nalmefene excluding north america mexico turkey south-korea
neutral,government started sell-off last month putting 8 percent stake teliasonera auction bloc
neutral,report goes provide detailed profiles ten leading european specialty chemicals companies brief profiles major players
positive,operating profit net sales three-month period increased respectively eur16 .0 eur139m compared corresponding quarter 2006
neutral,company expects net sales whole 2009 previous year levels
neutral,company headquartered sievi finland listed nordic exchange helsinki
positive,commission income increased 22 eur 4.4 mn lending volume rose 13.5
neutral,finnish company sold uk operation consisting 50 staff offices london birmingham manchester part deal hampden july 2001 european-wide property casualty arm sampo industrial
negative,building home improvement trade sales decreased 22.5 eur 201.4 mn
neutral,innova 2 building located close downtown immediate vicinity paviljonki travel center within walking distance heart city thanks trade fair bridge
neutral,finnish textiles clothing group marimekko oyj posted net profit 7.99 mln euro 10.4 mln 2006 compared 8.4 mln euro 10.9 mln 2005
positive,main strength cooperation project lies merging know-how two large companies
neutral,shareholders right put agenda agm items within competence general meeting
positive,kazgiprotsvetmet outotec finland signed agreement strategic cooperation marketing providing minerals processing metallurgical plants related services kazakhstan surrounding countries
neutral,due rapid decrease net sales personnel reductions carried wider scale initially expected
neutral,government instead proposed exchange state 's stake lmt teliasonera 's stake lattelecom
neutral,stora due release fourth-quarter 2009 full-year earnings feb. 4
neutral,full-year operating result 2008 3.6 million negative
negative,nq got hit hard lower -- looks like found support 18.89 http //stks.co/s052z
neutral,2008 avc systemhaus net sales eur 10 million usd 7.1
positive,"company established 3g base station 17,000 feet foot mount everest enable mountain climbers 29,035-foot summit surf internet even send videos exploits"
neutral,offer customers solutions based renewable raw materials
neutral,survey conducted taloustutkimus sampo life shows companies badly prepared losing key staff members
neutral,antti orkola president kemira growhow 's industrial solutions unit told thomson financial news company put opening mine prices phosphate quite depressed long time
positive,pretax profit group 's life insurance business increased eur36m eur27m
neutral,make available following brand-new market analyses cement pakistan cement malaysia cement taiwan cement philippines analyses give clear overview actual situation future outlook cement industry asian countries
neutral,"company serves approximately 3,000 customers 100 countries"
negative,rt alphatrends vmarkets still acting weak http //stks.co/1agn spy qqq xlf smh iwm
neutral,operating profit totalled eur 30.2 mn eur 43.8 mn year earlier
positive,one installed elevators double-deck elevator enables efficient use building 's core space
neutral,helsinki afx outokumpu said agreed sell hitura nickel mine finland canadian group belvedere resources ltd 10 mln eur worth belvedere shares
positive,went long ilmn
neutral,`` social networking location-based service trends comprise significant share internet traffic today appealing mid users
neutral,total 30 order value booked fourth quarter 2009 remainder booked second quarter 2010
negative,johnson matthey share price slumps company posts full-year results
neutral,previous share subscriptions 2004 stock options
neutral,affectogenimap builds highly customised solutions customers finland baltic countries
neutral,closing transaction scheduled take place january 10 2008
neutral,however offering probably made current valuation partly derives deal company merged stock market shell
neutral,operating result 12-month period decreased profit eur0 .4 turnover decreased eur5 .6 compared 2004
neutral,administrators indicated need 900 job cuts irish insurer next 15 months
neutral,net sales 2008 expected level 2007
positive,technical indicators stock bullish p gives nok positive 4 stars 5 buy ranking
negative,revenue quarter totaled 27.4 billion 2 percent 28.1 billion fourth quarter 2008
neutral,n-viro operates processing facilities independently well partnership municipalities
negative,number bodily injury cases quadrupled 2000-2006
positive,according ringman finnish paper companies acquired know-how capacity paper recycling turned successful strategy
positive,company also said poland profitability program launched oborniki steel frame sandwich panel plant
negative,u.s. energy executives say high steel prices threatening energy exploration
positive,tesco sales rise shows tentative recovery continues
neutral,finland launch tie-in sales 3g mobile phones cause dramatic rush mobile retail outlets first days
positive,nuan held well big gains maybe 're finally move still undervalued major upside
neutral,company split two parts coming months essent owning operating production supply enexis owning operating grid
neutral,officials disclose contract value
positive,london 's leading shares today jumped almost 100 points 1.7 market opened
neutral,"third quarter fiscal 2008 efore swung net loss eur 400,000 versus net profit eur 200,000 corresponding period fiscal 2007"
neutral,group 's operating loss eur 0.8 mn profit eur 2.5 mn 2004
negative,move triggered weak demand forestry equipment uncertain market situation
neutral,combined company pro-forma net sales 140 mln euro 188.9 mln operating profit 13 mln euro 17.5 mln 2006
positive,managing director kari inkinen says sponda 's leasing operations developed highly favourably
negative,17 march 2011 goldman sachs estimates negative prospects norwegian mobile operations norway 's telenor asa osl tel sweden 's teliasonera ab sto tlsn short term
positive,tsla steaming stock relentless moment
neutral,marathon estimates value remaining stake protalix 27 million
positive,whitbread share price climbs q4 sales growth
neutral,incap contract manufacturing subsidiary incap corporation finland
positive,"operating profit totaled eur 37,7 mn slightly eur 37.2 mn corresponding period 2006"
neutral,went market yield guidance 7.25 area gave us flexibility go 1-8th
negative,rt stockdemons think shorting close might play spy high beta reversing .. looks worth shot
positive,vdw combined lxe devices enhances productivity enabling workers use single device perform voice scanning keyboard functions
positive,thus method cut working costs fasten planning building processes
negative,talentum 's net sales september smaller expected
neutral,copyright afx news afx financial news logo registered trademarks afx news limited
negative,lnkd daily phase 2 retest price experiencing early rejection retest http //stks.co/t04xx
neutral,rbs reportedly appoint howard davies next chairman
negative,tesco asda sales fall march discounters continues-kantar
neutral,`` new version important us introduce bim process based detailed building information model
neutral,sampo plc jarmo salonen head investor relations group communications tel +358 10 516 0030 distribution nasdaq omx helsinki principal media financial supervisory authority www.sampo.com announcement distributed thomson reuters behalf thomson reuters clients
positive,barronsonline sees apple 150/share year +36 today growing services business aapl https //t.co/3bdnekn7l1
neutral,pharmaceutical market poland global research data services published recently market analysis pharmaceutical markets poland
negative,altogether finnair canceled 500 flights strike
neutral,employer together health personnel supports quitting pays part cost nicotine treatments
neutral,pretax loss totaled eur 117mn compared loss eur 65mn corresponding period
neutral,order includes 48 ship cranes delivered 12 container feeders built wenchong shipyard china
neutral,copper lead nickel also dropped ... hbos hbos plummeted 20 70.3 pence saying year+ó
positive,goog testing 200 day consolidation http //stks.co/h0cpj
neutral,joins technopolis kone held various positions within group recently director service business business development kone middle eastern operations
positive,succeeded increasing market share sold apartment `` comments mr kari kauniskangas head yit international construction services
positive,profitability ebit 13.9 compared 13.1 previous-year period
neutral,"finnish geosentric 's net sales decreased eur 939,000 january-march 2009"
neutral,plant scheduled completion late february 2007 hand areas january two suppliers nokia aspocomp group oyj perlos announced plans establish plants within nokia complex together invest rs 365 crore
positive,upm-kymmene upgraded in-line underperform goldman sachs
negative,slump weir leads ftse record high
neutral,jan. 6 -- ford struggling face slowing truck suv sales surfeit up-to-date got ta -have cars
negative,royal mail 'breached competition law delivery service changes ofcom claims
neutral,cooperation involve arena partners buying 35 share new joint venture company operating alma media 's home sales vehicle consumer advertising marketplace businesses
neutral,efore plant saarijarvi central finland one largest employers region
neutral,however short-term rentals becoming popular
neutral,emsa deputy chairman board juri lember told bns wednesday first time heard strike swedish side informed estonian union yet
positive,tesco closes new chairman dixons carphone 's john allan frame
neutral,device offers multimedia performance along host productivity applications including live stock prices
positive,sales climbed 19.2 pct 1.002 bln eur surpassing 953 mln eur consensus figure
negative,fb turns back early trading .... https //t.co/reuf5pzhbm
neutral,utah 's capital wanted next u.s. headquarters amer sports corp. ski-equipment company
positive,old mutual first-quarter sales 18 buoyed emerging markets
neutral,dividend payable february 1 2010 shareholders record january 19 2010
negative,sales finland decreased 10.5 january sales outside finland dropped 17
positive,furthermore bunge also sign licensing agreement sunnuntai carlshamn mejeri brands
positive,kesko corporation stock exchange release 28.02.2008 09.30 1 1 kesko corporation aspo plc today signed agreement aspo acquires share capital kauko-telko ltd subsidiary wholly owned kesko
negative,lulu outlook q1 2013 lost revenue range 12 million 17 million -not good
neutral,mobile communication wireless broadband provider nokia inc nyse nok today set new financial targets forecasts nokia mobile device industry also nokia siemens networks mobile fixed infrastructure related services market
neutral,poyry plc additional information heikki malinen president ceo poyry plc tel +358 10 33 21307 poyry global expert consulting engineering
neutral,danish company flsmidth acknowledged violated patent held finnish metso
neutral,amanda capital investments 22 private equity funds 200 unquoted companies mainly europe
positive,net interest income eur 39.3 mn eur 32.7 mn
neutral,jeder beta-tester erh+ñlt kostenlos sechs monate lang updates und hat laut eigener aussage die m+âglichkeit die finale version zu beeinflussen
neutral,jp morgan expects scala lower nobel biocare 's growth forecast 2007 current guidance 23-25 pct well operating margin target current 34-35 pct
positive,aviva promises higher dividends boost flagging share price
neutral,addition mids always online enable full internet browsing
positive,fiskars strong portfolio international brands include fiskars iittala gerber silva buster
negative,tesla model x recall adds reliability issues tsla https //t.co/jvxq4doxnp
neutral,name buyer disclosed
positive,net sales vegetable oil business rose eur 10.6 mn eur 10.1 mn
neutral,agreement benefon 's forthcoming range twig integrated gps navigation mobile phone devices use jointly developed web-based tracking location technology consumer commercial applications
neutral,"following increase huhtamaki 's registered share capital eur360 .62 number shares outstanding 106,063,320"
positive,three year turn-around program expected ensure salomon 's future competitiveness company said
positive,autumn plans expand service st. petersburg moscow launch service yekaterinburg russia flying three times week
negative,"company 's profit totaled ls 578,100 h1 2007 30.9 year-on-year"
positive,federal secretary transport communication mexico awarded poyry mexican partner sintra consulting contract connection buenavista-cuautitlan suburban railway
positive,fda approves astrazeneca drug advanced lung cancer
neutral,order included metso 's fourth quarter 2007 order backlog
neutral,lieksaare oy earlier regarded control saarelainen oy individual shareholders shareholder agreement
positive,ragutis controlled finnish brewery reported 5.4-per-cent rise beer sales 10.44 million litres held 11.09-per-cent market share
negative,mcp rolling new intraday low bottom pickers continue get destroyed
neutral,company annual turnover eur32 .8
neutral,has80 branches finland annual revenue finland
neutral,"portfolio comprises 118,000 m2 leasable space vacancy rate roughly 5 let around 140 tenants two largest swedish government ericsson"
positive,wpp boosts sales despite cautious clients
neutral,medium-term operative targets company remain unchanged
negative,adp news feb 13 2009 finnish retailer kesko oyj hel kesbv said today total sales excluding value added tax vat stood eur 661.3 million usd 853.1 january 2009 15.2 year-on-yea
positive,`` consumers well received packed fresh meat
neutral,corrected chapter entirety
neutral,major part deliveries include different ac cxe amplifier solutions products dinh telecom company acquired teleste last spring
positive,tietoenator uses nokia 's intellisync mobile suite 's wireless email calendar device management capabilities company extend services customers
neutral,provide heating form hot water sawmill 's needs
negative,however net sales declined eur 803.6 million eur 1.2 billion
positive,"second quarter 2010 raute 's net loss narrowed eur 123,000 eur 1.5 million period 2009"
positive,dgi technical alerts gilligan 's island buy setup stochastic buy signal lizard bullish hammer candlestick wid ... http //stks.co/c29nu
neutral,record date dividend distribution march 14 2008
positive,h move enhance growth
neutral,ebrd using funds provide 21.6 million loan b portion 10 million euros syndicated two finnish commercial banks nordea bank finland plc 7.7 million euros pohjola bank plc 2.3 million euros
neutral,stockholm 3 march 2011 cybercom cybercom group high-tech consultancy offers global sourcing end-to-end solutions
negative,said losing five families month economy many make alternative arrangements save money
neutral,milan afx italian shipping group grimaldi increased stake finnish company finnlines 35.4 pct 30.5 pct held june according news agency ansa
neutral,commenting deal shane lennon svp marketing product development gypsii said
neutral,external net sales printing business fell 43.7 partly due termination printing contract ilkka-yhtyma 's printing house i-print oy sector player hss media ab december 2009 fall printing prices
neutral,group intends relocate warehouse office space loudeac saint marcel morvillars east country already operates hook manufacturing distribution unit
neutral,firm headquartered vantaa southern finland 16 employees
neutral,"1.33 pm omx helsinki 25 0.30 pct lower 2,463.67 omx helsinki 0.37 pct 8,537.42 volume 256 mln eur"
positive,honored recognized gartner specialist business process modeling analysis company many largest software vendors world
neutral,westpac banking corp issue benchmark 3 year frn deal euros
neutral,includes company brand share data category well distribution channel data
neutral,new shares subscribed stock options shareholder rights commence date entered trade register
negative,aapl price momentum weakening going close
positive,acquisition solteq expand solutions offering microsoft 's dynamics business software products
neutral,"company 's profit totaled ls 134,700"
neutral,leed internationally recognized green building certification system developed u.s. green building council
negative,however market share shrank 47.59 per cent 48 per cent year earlier
negative,talktalk hires bae systems investigate cyber attack
neutral,looks like booking one way ticket 40 week near 50 losing 10 week lulu http //chart.ly/7xb9h9b
negative,ftse led lower glaxosmithkline
neutral,exercise price option based safran software solutions license maintenance sales well result company
negative,full-year operating result 2008 3.6 million negative
neutral,"company said production volumes far indicate circuit capable targeted output rate 60,000 tonnes per day 22 million tonnes year"
neutral,jun 25 2008 boy genius report delivered newstex -- nokia nyse nok n78 huh
neutral,`` come decision based preliminary economic operational environmental findings `` karvinen said
neutral,new majority owners aspocomp thailand co. ltd certain private persons belonging immediate circle aspocomp 's present joint venture partner saha pathana inter-holding plc
neutral,"3.8 mln euro 5.2 mln base acquisition price paid cash rest subscription offering total 850,000 new ixonos shares"
neutral,established 1987 srv group private finnish construction concern operations finland baltic countries russia
neutral,business section also includes ahlstrom 's sustainability report
neutral,"+£lemiste city environment knowledge-based economy providing work 3,300 people total turnover companies amounting eek 5.4 bn `` said +£lo p+ñrnits chairman supervisory board +£lemiste city mainor"
neutral,jacobs supporting storengy 's investment developing storage sites since 2006 owner 's engineer
neutral,company earlier said considering different strategic options struggling low-cost mobile operator including divestment holding
negative,sainsbury 's asda tesco morrisons cut petrol prices oil falls ...
positive,barclays sells benchmark indices unit bloomberg
neutral,operating profit fourth quarter fell eur33m eur39m year earlier
neutral,finnish forestry company upm-kymmene waste management company lassila tikanoja said jan. 30 planning produce ethanol energy commercial industrial waste
neutral,isms disclose financial results daily said
neutral,contract covers manufacturing surface-treatment installation steel structures
positive,finnish metal industry solutions supplier outotec oyj net profit rose 50.4 mln euro 72.5 mln first nine months 2007 20.1 mln euro 28.9 mln period 2006
neutral,deal know pay sek90m usd12 .8 m-eur8 .6 cash stock
positive,first nine months 2010 company 's net profit rose eur41m eur30m corresponding period 2009
positive,aapl 50dma turned macd crossover half-a-hair away weekly eod break likely
neutral,protalix 42 million cash sales
negative,bearish outside day tuesday significant 200 day resistance still intact opinion sds http //chart.ly/2bey48t
neutral,rights reserved
neutral,operated nokia supported nokia netact network service management system
positive,mr priit kasak balti metsamasina 's owner said rakvere-based company wishes increase valmet 's market share 27 third couple years
positive,shire sees baxalta deal closing expected new rules
neutral,sainsbury cfo rogers replace home retail ceo walden
neutral,marathon 4.6 percent stake plx said according bloomberg
neutral,simmons elected dcuc chairman portsmouth n.h.-gordon a. simmons ceo service credit union elected chairman defense credit union council 2007-2008 term
negative,sanoma news advertising sales decreased 22 year
neutral,pharmaceutical market czech republic global research data services published recently market analysis pharmaceutical markets czech republic
neutral,"finnish construction company yit reducing number start-ups market-financed residential units 2007 2,300 previously announced 2,700"
neutral,cash flow operations recent quarter also reached eight year low
negative,tietoenator 1.13 pct 18.38 extending recent lows last week 's second-quarter report dealers said
negative,maritime administration said ships ignored warnings icy conditions
positive,synergy pharma soars 67 today positive phase 3 results sgyp http //stks.co/j2awg
positive,operating profit rose eur 1.6 mn eur 1.1 mn corresponding period 2006
negative,making matters difficult company said grappling higher oil gas prices pushed cost energy raw materials transportation
positive,vrtx vertex monthly -lower hi/lower lo long term uptrend intract far
neutral,financial details disclosed
